uid,device_id,registerdate,lastpaydate,lastlogtime
318952864826877,61566849-5d94-4b22-9a0a-b573ea767a66,1455868813,,1461235208
559290644776467,135fbfd6-a469-4071-841d-e637ff442e1a,1455869777,,1468312328
716671129353771,79519f0f-a359-47de-8bd1-71319ca9672d,1455874931,,1461275752
676624854285934,311cd391-e0af-46ac-bda9-bfbb7895de50,1455876881,,1459881541
655442075582157,,1455878820,,1458251376
760608644792074,ee57f9f9-bde0-45fa-a728-5e1bae9e9f81,1455880421,,1468069850
296739293972357,,1455880707,,1457440845
782994014338894,b34a8477-5c64-46a0-8ef9-baf93bb887e5,1455881823,,1464011072
521958789040100,94662f7c-bbfb-48d5-ae10-f3c988400b19,1455882499,1467288834,1468374527
360923285243946,,1455883800,,1458960231
296172358289478,,1455884430,,1458671772
793241806307337,b26828fd-9fd7-4cbe-ad52-39385bd539d7,1455885322,1465609233,1468381759
749811097010199,,1455885547,,1458000661
554463101536402,ad50caea-6358-40e2-abf7-ce4c3c9632b9,1455886026,1466611585,1468340213
577505599029302,6943b576-5c7c-48fe-bb4b-67583ffcf1f2,1455886045,1465830847,1468362265
727640475828279,b1e0aeee-ae20-4b9b-86fa-244352fbeaa5,1455886053,,1465699686
422959792867526,87059cc8-b831-4835-b61b-7cd0ae31ac4b,1455887048,,1466811132
692275715113081,f0d0e2dc-abd2-45e9-9e68-018579a8db41,1455887306,,1462148197
651559425147101,,1455889004,,1458870860
650296704762258,9c2e519f-fb75-42be-b5e4-1f11887686a9,1455891813,1461345229,1468026450
386349491636748,9554711c-0411-41a0-b584-0f41adab53cd,1455892010,,1461777599
559934889871924,e706902c-10dd-42cd-9f66-0222b21ee58f,1455892583,,1460839558
391580761803565,5f177540-9d45-4ff0-bf7a-e18ae38b31a7,1455896521,,1464454615
414481527425995,32f7465d-5006-4df4-90b9-61211939413a,1455899121,,1468340184
769499227095974,0e3a7fc7-8ca2-4bf5-a325-5b2e8c2f908c,1455899332,,1461659038
545125842635947,b3c699ae-4260-4154-98eb-1b715b2d70ef,1455903505,,1462856229
841912375706917,,1455905914,,1458306074
619647818138947,8c2b5f17-5ea9-43a6-adde-43b07375db35,1455906387,,1468368215
694191270528347,,1455906732,,1457579575
338331757268400,26e1cf7e-b105-48f9-8197-7ee04850c4ac,1455907568,1462927480,1468367093
739271247267236,0b12e8dd-6c70-4dae-b8ae-864dfefb0796,1455907924,1464120209,1468345758
682053692949930,,1455907969,,1456671826
759723881530808,9abd124d-992d-4251-9b15-09fd8bd54cab,1455908274,,1466694163
291396354657762,a9f5cb5d-d868-44e6-a3f0-28fb689f4df4,1455908318,,1468348239
813892009068110,38908709-f94d-4037-92e1-fabe07cbc242,1455910327,,1459894735
736685676955262,,1455910986,,1459640736
677200379906003,d6436f89-c246-41cf-bd03-7f296615002b,1455916561,,1465224383
403374741999846,5e930a01-f203-42a1-8aef-545c29456e43,1455920365,,1460310584
687319322855775,f6154704-e04f-4ea2-a689-771a760b6242,1455923086,1466079947,1468381955
812070942935441,73e2aff7-b2fd-4ba8-b5a7-510cba972467,1455923885,,1468377266
320206995280340,36352fce-468a-4b52-8536-0a414764381a,1455924008,,1468370693
331760457306855,60eff8e5-3058-4cdc-81b0-2d10c028a31f,1455928447,,1466006734
436042263254023,ec25c2c5-c5f5-40ef-a164-0be2fb772539,1455933021,,1466613611
799383609543754,60637022-29b0-415d-a8fe-7fd219fcf093,1455934998,,1462743119
294961177515107,70a78bfe-6c63-4847-a1fa-45b5142195f6,1455935011,,1461365270
766999556131966,,1455935965,,1459270170
786352678767753,8f92d102-bcf3-4d21-a62d-e0cd27073ddb,1455936201,,1461895634
756167648611551,,1455938388,,1456884538
735096539057390,ae654718-f545-4e33-8dc3-f9fcdf49c832,1455938769,,1461159583
386358081574322,a7c160de-1258-496c-af43-a5acdcb57976,1455943118,,1465128160
833279491444110,351e959a-935e-44c2-a19b-88952af75d40,1455944550,,1466987031
789058508164515,65165a75-394c-40ab-adca-d846144f5429,1455945316,,1463090900
617268406259145,,1455947357,,1459192394
811864784506319,e3b9b9a1-2215-4651-99b2-fcf03dc60719,1455947607,,1463001568
345066265990699,23e1628f-3cd1-4941-9ded-2b2562d54a6e,1455949047,,1468340590
578914348306063,,1455959494,,1457308585
353243883722494,4bc3ec35-4d4a-4e3a-9a2a-3f4e946a5978,1455961882,,1461540033
661128612286183,,1455962658,,1457844011
674966996913918,334238a6-fcfd-4742-b239-d0a80cf9e9e2,1455963400,,1464695011
501823982360417,,1455964623,,1459663630
591807840128815,3d4a0a13-2bb8-4ad1-bca0-aa6f5b8134e9,1455964730,1463566703,1466153613
732966235279233,ed62cf51-ab19-49d9-8286-2ef903f8f0d2,1455966909,,1467629027
419798696941617,,1455969280,,1459632145
803017151877162,f58d23ef-709c-4ba6-87ad-67e60915ed1d,1455969822,,1467344160
372073020348598,,1455971808,,1458890608
737587620090072,cea4e642-738c-46bd-8081-3f15baab7987,1455972415,,1462048301
658568811778268,,1455972447,,1459093951
585829245653281,e92d7856-dabf-485c-99b4-37a337daec03,1455973424,,1463725153
407489320671608,,1455974757,,1458057057
553947705465279,14dce014-b183-4255-8764-9744634e652a,1455975653,,1462339522
388101838297555,b8de3f53-aedf-4198-9593-c0f3c94186b1,1455975909,,1460869542
581491328684527,eb1e3edf-f0cd-453a-82f5-000d36899eca,1455976846,,1468357471
754887748358677,da4f8473-46f4-4fe9-9ce5-0ef7ff2f37f1,1455977555,,1460468742
795664167867019,,1455979557,,1458570842
512939357723347,30b8637a-11ab-409c-9c7c-cf6e5aff9a2e,1455979901,1461183058,1463100174
718243087389465,0f3e7011-011a-4290-bd26-308a8cfd3ee3,1455981659,,1460230168
405290297416532,ef2164fa-828c-4713-b2a8-84a7cbc1ebd1,1455981774,1461621011,1468374766
711946665333597,827d47d7-f297-44c2-8393-9ae7e37a8f35,1455982870,,1468362460
547273326287802,cde583a1-0079-403e-9616-ba03cdf3ffd0,1455983269,,1461715002
424703549594564,,1455983416,,1459571424
576380317602705,,1455983556,,1456014716
588088398451612,79da5d1b-942d-4f80-9f80-5fe7dc34012b,1455983705,1467761700,1468368880
368783075400765,b84cd5fd-e153-4d85-a32f-7a816b53584c,1455985239,,1462853943
353785049603135,,1455985292,,1458662841
823727484179490,f752ffd4-3a17-4697-840e-283b7dfcc92e,1455985567,,1464996696
581791976395855,,1455986143,,1457473099
385052411518078,,1455986201,,1457387907
525978878434719,,1455990702,,1457057850
482213161688825,14fbd5bb-0af1-4f6e-b721-0ce66721b5fd,1455995963,1465175563,1468381994
319253512544047,ddfde219-b7f3-46b6-83dd-8b389b6e6038,1455996800,1461159957,1464975842
399801329213235,4e997b1c-1532-4699-b7a6-eca65d53c408,1455996851,,1468354559
772900841199403,903f0805-6df6-42b0-98fd-f63c80f22cc8,1455997193,1462197168,1465866936
703305191135070,,1455997923,,1456263946
541792948019090,9344df9b-ee2a-4517-91d3-c0f22acc0485,1455998328,,1466174742
285417760186264,,1455998395,,1457542028
771526451665239,,1456005602,,1457079411
805310664415609,0af7e49c-66e8-4e28-8770-c9f3d332d925,1456006260,1461928692,1466439675
535874483085836,2ebef624-e31d-4511-afb6-1065ad6d236c,1456008210,,1461448855
431558317400641,,1456009108,,1456870537
671092936415791,,1456009854,,1456583771
832532167137908,,1456010886,,1457067016
842453541591669,c79f44de-60f7-45a6-b2fa-f3d27fb9b317,1456010897,,1465003071
709773411883808,,1456013775,,1457998759
303662781260626,2cda072d-fbd7-4a76-a2b3-c4b09cc7fd17,1456013869,,1459733302
791979085929382,4a5a7ec0-5392-4802-a439-e808373d5f09,1456015616,1462933503,1466471217
723783595203584,,1456017092,,1458257768
342446335943749,5c24d399-8cda-4941-8daa-e4cf069458fa,1456017709,,1460279119
411664028886105,f85cc1b1-78fe-4117-9e9a-e88ac2de5cd4,1456018161,,1461464981
